species_lump,latitude,longitude,occurrence
Alaria marginata,38.3103981,-123.0824,0
Alaria marginata,38.31644058,-123.0721,1
Alaria marginata,38.31819916,-123.07365,1
Alaria marginata,38.45618057,-123.14244,1
Alaria marginata,38.52394104,-123.26747,1
Alaria marginata,38.56613922,-123.32919,1
Alaria marginata,38.58584976,-123.34147,1
Alaria marginata,38.61363983,-123.36753,1
Alaria marginata,38.73049927,-123.48864,1
Alaria marginata,38.74050903,-123.51086,0
Alaria marginata,38.86138153,-123.65361,1
Alaria marginata,38.88090897,-123.67475,0
Alaria marginata,38.93787003,-123.7288,0
Alaria marginata,38.95550156,-123.7413,1
Alaria marginata,39.43920135,-123.81841,0
Alaria marginata,39.48259354,-123.80359,0
Alaria marginata,39.56906509,-123.77182,0
Alaria marginata,39.60411835,-123.78887,1
Alaria marginata,40.021698,-124.06825,0
Alaria marginata,40.02254105,-124.07366,1
Alaria marginata,40.3409996,-124.36317,0
Alaria marginata,41.05715561,-124.14532,0
Alaria marginata,41.13121033,-124.1633,1
Alaria marginata,41.59476089,-124.10643,1
Alaria marginata,41.65248871,-124.12784,1
Alaria marginata,41.68999863,-124.14257,1
Alaria marginata,41.78464508,-124.25513,1
Alaria marginata,41.98984146,-124.2093,0
Alaria marginata,42.22814178,-124.38786,0
Alaria marginata,43.11471939,-124.43851,1
Alaria marginata,43.30894089,-124.40077,0
Alaria marginata,44.24456024,-124.11443,1
Alaria marginata,44.49993896,-124.08437,0
Alaria marginata,44.75271606,-124.06606,1
Alaria marginata,44.83863831,-124.05875,1
Alaria marginata,45.02574539,-124.01265,1
Alaria marginata,45.47179031,-123.97204,1
Alaria marginata,45.91809082,-123.98031,1
Alaria marginata,47.30255127,-124.27531,0
Alaria marginata,47.57688141,-122.54411,0
Alaria marginata,47.65269852,-124.3905,0
Alaria marginata,47.8660202,-124.57004,1
Alaria marginata,47.94709015,-124.66229,1
Alaria marginata,48.15049362,-123.63699,1
Alaria marginata,48.24200058,-124.70779,1
Alaria marginata,48.7120018,-122.51913,0
Alaria marginata,58.27082062,-136.73148,1
